QueryNumber;[DocRanking, DocNumber, Similarity]
00001;[0, 56, 0.0]
00001;[1, 106, 0.0]
00001;[2, 134, 0.0]
00001;[3, 299, 0.0]
00001;[4, 377, 0.0]
00001;[5, 465, 0.0]
00001;[6, 490, 0.0]
00001;[7, 505, 0.0]
00001;[8, 726, 0.0]
00001;[9, 767, 0.0]
00001;[10, 911, 0.0]
00001;[11, 926, 0.0]
00001;[12, 931, 0.0]
00001;[13, 943, 0.0]
00001;[14, 975, 0.0]
00001;[15, 1031, 0.0]
00001;[16, 1111, 0.0]
00001;[17, 1148, 0.0]
00001;[18, 1218, 0.0]
00001;[19, 7, 0.0]
00001;[20, 8, 0.0]
00001;[21, 12, 0.0]
00001;[22, 13, 0.0]
00001;[23, 15, 0.0]
00001;[24, 17, 0.0]
00001;[25, 18, 0.0]
00001;[26, 28, 0.0]
00001;[27, 32, 0.0]
00001;[28, 33, 0.0]
00001;[29, 37, 0.0]
00001;[30, 38, 0.0]
00001;[31, 39, 0.0]
00001;[32, 40, 0.0]
00001;[33, 41, 0.0]
00001;[34, 43, 0.0]
00001;[35, 46, 0.0]
00001;[36, 47, 0.0]
00001;[37, 48, 0.0]
00001;[38, 49, 0.0]
00001;[39, 58, 0.0]
00001;[40, 59, 0.0]
00001;[41, 60, 0.0]
00001;[42, 63, 0.0]
00001;[43, 65, 0.0]
00001;[44, 67, 0.0]
00001;[45, 68, 0.0]
00001;[46, 69, 0.0]
00001;[47, 73, 0.0]
00001;[48, 76, 0.0]
00001;[49, 77, 0.0]
00001;[50, 78, 0.0]
00001;[51, 79, 0.0]
00001;[52, 81, 0.0]
00001;[53, 82, 0.0]
00001;[54, 86, 0.0]
00001;[55, 88, 0.0]
00001;[56, 92, 0.0]
00001;[57, 97, 0.0]
00001;[58, 101, 0.0]
00001;[59, 103, 0.0]
00001;[60, 110, 0.0]
00001;[61, 112, 0.0]
00001;[62, 117, 0.0]
00001;[63, 118, 0.0]
00001;[64, 120, 0.0]
00001;[65, 121, 0.0]
00001;[66, 126, 0.0]
00001;[67, 127, 0.0]
00001;[68, 130, 0.0]
00001;[69, 131, 0.0]
00001;[70, 133, 0.0]
00001;[71, 135, 0.0]
00001;[72, 136, 0.0]
00001;[73, 139, 0.0]
00001;[74, 140, 0.0]
00001;[75, 141, 0.0]
00001;[76, 143, 0.0]
00001;[77, 145, 0.0]
00001;[78, 152, 0.0]
00001;[79, 153, 0.0]
00001;[80, 156, 0.0]
00001;[81, 157, 0.0]
00001;[82, 158, 0.0]
00001;[83, 162, 0.0]
00001;[84, 165, 0.0]
00001;[85, 171, 0.0]
00001;[86, 172, 0.0]
00001;[87, 175, 0.0]
00001;[88, 176, 0.0]
00001;[89, 182, 0.0]
00001;[90, 183, 0.0]
00001;[91, 186, 0.0]
00001;[92, 189, 0.0]
00001;[93, 192, 0.0]
00001;[94, 197, 0.0]
